"
	JEDNOSTKA LEKCYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
79;"
 Jaki to procent? (cd.)

 Obliczenia za pomocą

 kalkulatora";"   zna zasady zaokrąglania liczb (P)

   rozumie korzyści płynące z umiejętności stosowania kalkulatora do obliczeń (K)

   umie zaokrąglić ułamek dziesiętny i wyrazić go w procentach (P)

   umie opisywać w procentach części skończonych zbiorów (K - R)

   umie zamienić ułamek na procent (K - R)

   umie określić, jakim procentem jednej liczby jest druga (P - R)

   umie rozwiązać zadanie tekstowe związane z określeniem, jakim procentem jednej

	liczby jest druga (P - R)";"   umie rozwiązać niety powe zadanie tekstowe związane z określeniem, jakim

	procentem jednej liczby jest druga (D - W)"

"
	80 - 81";"
 Diagramy procentowe";"   zna pojęcie diagramu (K)

   rozumie potrzebę stosowania różnych diagramów (P)

   umie odczytać dane z diagramu (K - R)

   umie odpowiedzieć na pytanie dotyczące znalezionych danych (K - R)

   umie przedstawić dane w postaci diagramu słupkowego (K - R)";"   umie porównać dane z dwóch diagramów i odpowiedzieć na pytania dotyczące

	znalezionych danych (D - W)"
"
	82 - 84";"
 Obliczenia procentowe";"   zna algorytm obliczania u łamka liczby (P)

   rozumie pojęcie procentu liczby jako jej części (K)

   umie obliczyć procent liczby naturalnej (K - P)

   umie rozwiązać zadanie tekstowe związane z obliczanie m procentu danej liczby (P - R)";"   umie rozwiązać nietypowe zadanie tekstowe związane z obliczaniem procentu danej

	liczby (D- W)"
"
	85 - 86";"
 Obniżki i podwyżki";"   umie obliczyć liczbę większą o dany procent (P)

   umie obliczyć liczbę mniejszą o dany procent (P)

   umie rozwiązać zadanie tekstowe związane z podwyżkami i obniżkami o dany

	procent (P - R)";"   umie rozwiązać nietypowe zadanie tekstowe związane z podwyżkami i obniżkami o

	dany procent (D - W)"
"
	87 - 88";"
 Obliczanie liczby, gdy dany

 jest jej procent";   umie obliczyć liczbę na podstawie danego jej procentu (P - R);"   umie rozwiązać zadanie tekstowe związane z obliczaniem liczby na podstawie

	danego jej procentu (R)
   umie rozwiązać nietypowe zadanie tekstowe związane z obliczaniem liczby na

	odstawie danego jej procentu (D - W)"
89;"
 Powtórzenie";;
"
	90 - 91";"
 Praca klasowa i jej omówienie";;
"
	DZIAŁ 7. LICZBY DODATNIE I LICZBY UJEMNE (10 h)";;;
"
	92 - 93";"
 Porównywanie liczb";"   zna i rozumie pojęcie liczby ujemnej (K)

   zna i rozumie pojęcie liczb przeciwnych (K)

   zna i rozumie pojęcie wartości bezwzględnej (P)

   rozumie rozszerzenie osi liczbowej na liczby ujemne (K)

   umie zaznaczyć i odczytać liczbę ujemną na osi liczbowej (K - P)

   umie wymienić kilka liczb większych lub mniejszych od danej (K - P)

   umie porównać liczby wymierne (K - P)

   umie zaznaczyć liczby przeciwne na osi liczbowej (K)

   umie porządkować liczby wymierne (P - R)";"   umie podać, ile liczb spełnia podany warunek (R)

   umie obliczyć wartość bezwzględną liczby (P - R)

   umie rozwiązać nietypowe zadanie związane z liczbami dodatnimi i ujemnymi (D - W)"
"
	94 - 96";"
 Dodawanie i odejmowanie";"   zna i rozumie zasadę dodawania liczb o jednakowych znakach (K)

   zna i rozumie zasadę dodawania liczb o różnych znakach (K)

   zna i rozumie zasadę zastępowania odejmowania dodawaniem liczby przeciwnej (P)

   umie obliczyć sumę i różnicę liczb :

   - całkowitych (K - P)

   - wymiernych (P - R)

   umie korzystać z przemienności i łączności dodawania (P)

   umie powiększyć lub pomniejszyć liczbę całkowitą o daną liczbę (K - R)

   umie uzupełnić brakujące składniki, odjemną lub odjemnik w działaniu (P - R)";   umie obliczyć sumę wieloskładnikową (R)
