"
	JEDNOSTKA ORGANIZACYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
"
	76 - 78";"
 Pole powierzchni i objętość

 g raniastosłupa";"  zna pojęcia prostopadłościanu i sześcianu oraz ich budowę (K)

  zna pojęcia graniastosłupa prostego i prawidłowego oraz ich budowę (K)

  zna pojęcie graniastosłupa pochyłego (P)

  zna wzory na obliczanie pola powierzchni i objętości graniastosłupa (K)

  zna jednostki pola i objętości (K)

  rozumie sposób tworzenia nazw graniastosłupów (K)

  umie obliczyć pole powierzchni i objętość graniastosłupa (K)

  umie obliczyć pole powierzchni i objętość narysowanych grania stosłupów (P - R)

  umie obliczyć pole powierzchni i objętość graniastosłupa na podstawie narysowanej jego

	siatki (P - R)
  umie rozwiązać zadania tekstowe związane z objętością i polem powierzchni graniastosłupa

	(P - R)";"  umie obliczyć pole powierzchni i objętość gra niastosłupa (R- D)

  umie rozwiązać zadania tekstowe związane z objętością i polem powierzchni

	graniastosłupa (R- W)"
"
	79 - 80";"
 Odcinki w g raniastosłupach";"  zna nazwy odcinków w graniastosłupie (P)

  umie wskazać na modelu przekątną ściany bocznej, przekątną podstawy oraz przekątną

	graniastosłupa (K - P)

  umie rysować w rzucie równoległym graniastosłupa prostego przekątne jego ścian oraz

	przekątne bryły (P - R)

  umie obliczyć długość odcinka w graniastosłupie, korzystając z twierdzenia Pitagorasa (P - R)";"  umie obliczyć długość odcinka w graniastosłupie, korzystając

	z twierdzenia Pitagorasa (R - D)
  umie obliczyć długość odcinka w graniastosłupie, korzystając

	z własności trójkątów prostokątnych o kątach 90 0, 450, 450 oraz 900, 30 0, 60 0 (R- D)"
81;"
 Rodzaje ostrosłupów";"  zna pojęcie ostrosłupa (K)

  zna pojęcie ostrosłupa prawidłowego (K)

  zna pojęcia czworościanu i czworościanu foremnego (K)

  zna budowę ostrosłupa (K)

  rozumie sposób tworzenia nazw ostrosłupów (K)

  zna pojęcie wysokości ostrosłupa (K)

  umie określić liczbę wierzchołków, krawę dzi i ścian ostrosłupa (K - P)

  umie rysować ostrosłup w rzucie równoległym (K- P)

  umie obliczyć sumę długości krawędzi ostrosłupa (P)";"  umie obliczyć sumę długości krawędzi ostrosłupa (R)

  umie rozwiązać zadania tekstowe związane z sumą długości krawędzi (R - D)"
"
	82 - 83";"
 Siatki ostrosłupów. Pole

 powierzchni";"  zna pojęcie siatki ostrosłupa (K)

  zna pojęcie pola powierzchni ostrosłupa (K)

  zna wzór na obliczanie pola powierzchni ostrosłupa (K)

  rozumie pojęcie pola figury (K)

  rozumie sposób obliczania pola powierzchni jako pola siatki (P)

  rozumie zasadę kreślenia siatki (K)

  umie kreślić siatkę ostrosłupa prawidłowego (K -P)

  umie rozpoznać siatkę ostrosłupa (K -P)

  umie obliczyć pole ostrosłupa prawidłowego (K -P)

  umie rozwiązać zadania tekstowe związane z polem powierzchni ostr osłupa (P)";"  umie kreślić siatki ostrosłupów (R)

  umie rozpoznać siatkę ostrosłupa (R - D)

  umie obliczyć pole powierzchni ostrosłupa ((R - D)

  umie rozwiązać zadania tekstowe związane z polem powierzchni ostrosłupa (R - W)"
"
	84 - 85";"
 Objętość ostrosłupa";"  zna wzór na obli czanie objętości ostrosłupa (K)

  rozumie pojęcie objętości figury (K)

  umie obliczyć objętość ostrosłupa (K – P)";"  umie obliczyć objętość ostrosłupa (R)

  umie rozwiązać zadanie tekstowe związa ne z objętością ostrosłupa (R – W)

  umie rozwiązać zadanie tekstowe związane z objętością ostrosłupa"

;;  umie rozwiązać zadanie tekstowe związane z objętością ostrosłupa (P);"
	i graniastosłupa (D – W)"
"
	86 - 88";"
 Odcinki w ostrosłupach";"  zna pojęcie wysokości ściany bocznej (K)

  umie wskazać trójkąt prostokątny, w którym występuje dany l ub szukany odcinek (K - P)

  umie stosować twierdzenie Pitagorasa do wyznaczania długości odcinków (P)

  umie obliczyć szukany odcinek, stosując twierdzenie Pitagorasa (P - R)";"  umie stosować twierdzenie Pitagorasa do wyznaczania długości odcinków (R)

  umie rozwiązać zadania tekstowe związane z długością odcinków, polem powierzchni

	i objętością ostrosłupa oraz graniastosłupa (R - W)"
89;"
 Powtórzenie";;
"
	90 - 91";"
 Praca klasowa i jej omówienie";;
"
	DZIAŁ 6. SYMETRIE ( 15 h)";;;
"
	92 - 94";"
 Symetria względem prostej";"  zna pojęcie punktów syme trycznych względem prostej (K)

  umie rozpoznawać figury symetryczne względem prostej (K)

  umie określić własności punktów symetrycznych (P)

  umie wykreślić punkt symetryczny do danego (K)

  umie rysować figury w symetrii osiowej, gdy figura i oś:

	- nie mają punktów wspólnych (K)

	- mają punkty wspólne (P)";"  umie wykreślić oś symetrii, względem której figury są symetryczne (R)

  stosuje własności punktów symetrycznych w zadaniach (R - W)

  umie rozwiązywać zadania tekstowe związane z symetrią względem prostej (R - W)"
95;"
 Oś symetrii figury";"  zna pojęcie osi symetrii figury (K)

  rozumie pojęcie figury osiowosymetrycznej (P)

  umie podać przykłady figur, które mają oś symetrii (K)

  umie narysować oś symetrii figury (P)

  umie uzupełnić figurę do figury osiowosymetrycznej, mając dane: oś symetrii oraz część

	figury (P)";"  umie wskazać wszystkie osie symetrii figury (R)

  umie rysować figury posiadające więcej niż jedną oś symetrii (R - W)

  umie uzupełnić figurę, tak by była osiowosymetryczna (R - D)"
"
	96 - 97";"
 Symetralna odcinka";"  zna pojęcie symetralnej odcinka (K)

  rozumie pojęcie symetralnej odcinka i jej własności (P)

  umie konstruować symetralną odcinka (K)

  umie konstrukcyjnie znajdować środek odcinka (K)";"  umie dzielić odcinek na 2 n równych części (R)

  wykorzystuje własności symetralnej odcinka w zadaniac h (D- W)"
"
	98 - 99";"
 Dwusieczna kąta";"  zna pojęcie dwusiecznej kąta i jej własności (K - P)

  rozumie pojęcie dwusiecznej kąta i jej własności (K - P)

  umie konstruować dwusieczną kąta (K)";"  umie dzielić kąt na 2 n równych części (R)

  wykorzystuje własności dwusiecznej kąta w zadaniach (D- W)

  umie konstruować kąty o miarach 15 0 , 30 0, 600, 90 0,45 0 oraz 22,5 0 (R- D)"
